Timestamp,Raw_ADC,NodeMCU_Volts,Sensor_Volts
2026-03-27 17:57:43,350,1.129,1.694
2026-03-27 17:57:53,350,1.129,1.694
2026-03-27 17:58:03,800,2.581,3.871
2026-03-27 17:58:13,350,1.129,1.694
2026-03-27 17:58:23,550,1.774,2.661
2026-03-27 17:58:33,1023,3.3,4.95
2026-03-27 17:58:43,0,0.0,0.0
2026-03-27 17:58:53,100,0.323,0.484
2026-03-27 17:59:03,100,0.323,0.484
2026-03-27 17:59:13,400,1.29,1.935
2026-03-27 17:59:23,600,1.935,2.903
2026-03-27 17:59:33,300,0.968,1.452
2026-03-27 17:59:43,250,0.806,1.21
2026-03-27 17:59:53,200,0.645,0.968
2026-03-27 18:00:03,250,0.806,1.21
2026-03-27 18:00:13,250,0.806,1.21
2026-03-27 18:00:23,250,0.806,1.21
2026-03-27 18:00:33,0,0.0,0.0
2026-03-27 18:00:43,0,0.0,0.0
2026-03-27 18:00:53,350,1.129,1.694
2026-03-27 18:01:03,100,0.323,0.484
2026-03-27 18:01:13,100,0.323,0.484
2026-03-27 18:01:23,0,0.0,0.0
2026-03-27 18:01:33,350,1.129,1.694
2026-03-27 18:01:43,0,0.0,0.0
2026-03-27 18:01:53,1023,3.3,4.95
2026-03-27 18:02:03,0,0.0,0.0
2026-03-27 18:02:13,0,0.0,0.0
2026-03-27 18:02:23,0,0.0,0.0
2026-03-27 18:02:33,0,0.0,0.0
2026-03-27 18:02:43,0,0.0,0.0
2026-03-27 18:02:53,150,0.484,0.726
2026-03-27 18:03:03,500,1.613,2.419
2026-03-27 18:03:13,100,0.323,0.484
2026-03-28 00:34:14,0,0.0,0.0
2026-03-28 00:34:24,750,2.419,3.629
2026-03-28 00:34:34,1023,3.3,4.95
2026-03-28 00:34:44,250,0.806,1.21
2026-03-28 00:34:54,1023,3.3,4.95
2026-03-28 00:35:04,0,0.0,0.0
2026-03-28 00:35:14,400,1.29,1.935
2026-03-28 00:35:24,0,0.0,0.0
2026-03-28 00:35:34,0,0.0,0.0
2026-03-28 00:35:44,0,0.0,0.0
2026-03-28 00:35:54,0,0.0,0.0
2026-03-28 02:03:22,0,0.0,0.0
2026-03-28 02:03:29,0,0.0,0.0
2026-03-28 02:03:40,0,0.0,0.0
2026-03-28 02:03:49,200,0.645,0.968
2026-03-28 02:03:59,0,0.0,0.0
2026-03-28 02:04:09,300,0.968,1.452
2026-03-28 02:04:19,600,1.935,2.903
2026-03-28 02:04:29,0,0.0,0.0
2026-03-28 02:04:39,0,0.0,0.0
2026-03-28 02:04:49,500,1.613,2.419
2026-03-28 02:04:59,550,1.774,2.661
2026-03-28 02:05:09,50,0.161,0.242
2026-03-28 02:05:19,150,0.484,0.726
2026-03-28 02:05:29,450,1.452,2.177
2026-03-28 02:05:39,0,0.0,0.0
2026-03-28 02:05:49,750,2.419,3.629
2026-03-28 02:05:59,0,0.0,0.0
